,account_value,datadate
731,1311502.818048514,20220106
732,1304933.9864640043,20220107
733,1294203.7378444774,20220110
734,1277904.020026011,20220111
735,1286576.736307809,20220112
736,1290121.9654116032,20220113
737,1291358.4311892774,20220114
738,1287802.3642098135,20220117
739,1266056.6617183865,20220118
740,1271321.520784799,20220119
741,1283846.875879693,20220120
742,1286322.9117103398,20220121
743,1268978.0620380482,20220124
744,1295229.439488289,20220125
745,1296347.910151696,20220126
746,1285845.0323877682,20220127
747,1295570.4164205256,20220128
748,1305937.1353616165,20220207
749,1300576.2992295488,20220208
750,1300511.6249308463,20220209
751,1302211.499169426,20220210
752,1300684.574998822,20220211
753,1285479.814116271,20220214
754,1303675.4231720525,20220215
755,1305241.1060104875,20220216
756,1317038.8217045101,20220217
757,1313000.6537700898,20220218
758,1312995.1239439575,20220221
759,1309437.0071069077,20220222
760,1311925.410522663,20220223
761,1304650.5080179614,20220224
762,1302445.7101057859,20220225
763,1291955.3101890837,20220228
764,1300005.366527476,20220301
765,1290390.3757351076,20220302
766,1301339.4845370615,20220303
767,1309083.1704573415,20220304
768,1306064.045221497,20220307
769,1295551.9473928204,20220308
770,1296743.9236953002,20220309
771,1290708.3511736272,20220310
772,1272733.6178550688,20220311
773,1249434.6713598073,20220314
774,1256564.5687222434,20220315
775,1260888.5699582396,20220316
776,1261183.0218172164,20220317
777,1266129.7210371774,20220318
778,1287895.587566892,20220321
779,1297332.5602935494,20220322
780,1292790.5277040415,20220323
781,1289875.0906003853,20220324
782,1288342.889196218,20220325
783,1283782.0428798322,20220328
784,1298003.679739564,20220329
785,1295921.2883847523,20220330
786,1297456.1762475204,20220331
787,1323767.3728906526,20220401
788,1327309.1838674536,20220404
789,1327206.0038696364,20220405
790,1337923.3422455383,20220406
791,1325965.93122788,20220407
792,1314674.8903168524,20220408
793,1304317.486518253,20220412
794,1325496.9282919199,20220413
795,1321080.8491090161,20220414
796,1316841.663036521,20220415
797,1310267.4075268083,20220418
798,1287855.8878879987,20220419
799,1292307.8121394638,20220420
800,1291308.8411233334,20220421
801,1290138.2773174015,20220422
802,1236658.088935024,20220425
803,1247203.8190571219,20220426
804,1252974.5362285539,20220427
805,1248094.014759382,20220428
806,1255740.272770464,20220429
807,1243179.3844828084,20220504
808,1256173.6770282658,20220505
809,1234434.6894510572,20220506
810,1193612.8192217739,20220509
811,1213383.3303735903,20220510
812,1216721.8871530115,20220511
813,1167741.3877613128,20220512
814,1129005.036419938,20220513
815,1117919.5109339647,20220516
816,1160682.71715103,20220517
817,1166174.5001793583,20220518
818,1173563.013563668,20220519
819,1173985.509782223,20220520
820,1158102.0878299286,20220523
821,1175431.4502253265,20220524
822,1204029.2540881818,20220525
823,1202877.1998903556,20220526
824,1226984.0772117097,20220527
825,1226517.8336005588,20220530
826,1220056.3114660142,20220531
827,1230331.311574976,20220601
828,1232058.8815437339,20220602
829,1230294.9654216266,20220603
830,1237579.2940791931,20220606
831,1247187.8572334892,20220607
832,1250818.6208526865,20220608
833,1249593.0856298674,20220609
834,1225637.895418955,20220610
835,1177357.399664898,20220613
836,1181244.872744624,20220614
837,1178682.70570188,20220615
838,1199965.369591354,20220616
839,1197400.2690361266,20220617
